sample_ID	region	raw_MIC	year	sham	0	0.01	0.1	1	10	100
12-168	AL	0.1	2012	no	100	97	0	0	0	0
12-169	AL	0.1	2012	no	100	13	0	0	0	0
12-170	AL	0.1	2012	no	100	45	0	0	0	0
12-230	AL	0.1	2012	no	100	NA	0	0	0	0
12-203	AQ	0.01	2012	no	100	0	0	0	0	0
12-204	AQ	0.01	2012	no	100	0	0	0	0	0
12-216	AQ	0.1	2012	no	100	99	0	0	0	0
12-218	AQ	0.1	2012	no	100	36	0	0	0	0
12-242	AQ	0.1	2012	no	100	72	0	0	0	0
12-243	AQ	0.1	2012	no	100	NA	0	0	0	0
12-244	AQ	0.1	2012	no	100	95	0	0	0	0
12-245	AQ	0.1	2012	no	100	41	0	0	0	0
12-248	AQ	0.1	2012	no	100	26	0	0	0	0
12-258	AQ	0.1	2012	no	100	NA	0	0	0	0
12-259	AQ	0.1	2012	no	100	99	0	0	0	0
12-260	AQ	0.1	2012	no	100	96	0	0	0	0
12-261	AQ	0.1	2012	no	100	69	0	0	0	0
12-273	AQ	0.1	2012	no	100	3	0	0	0	0
12-274	AQ	0.1	2012	no	100	NA	0	0	0	0
12-275	AQ	0.1	2012	no	100	97	0	0	0	0
12-288	AQ	0.1	2012	no	100	73	0	0	0	0
12-324	AQ	0.1	2012	no	100	42	0	0	0	0
12-047	BO	0.1	2012	no	100	56	0	0	0	0
12-049	BO	0.1	2012	no	100	93	0	0	0	0
12-050	BO	100	2012	no	100	30	3	3	4	0
12-051	BO	0.1	2012	no	100	103	0	0	0	0
12-106	BO	0.1	2012	no	100	73	0	0	0	0
12-107	BO	0.1	2012	no	100	75	0	0	0	0
12-109	BO	0.1	2012	no	100	97	0	0	0	0
12-110	BO	0.1	2012	no	100	9	0	0	0	0
12-111	BO	0.1	2012	no	100	9	0	0	0	0
12-136	BO	0.1	2012	no	100	80	0	0	0	0
12-137	BO	0.1	2012	no	100	14	0	0	0	0
12-138	BO	0.1	2012	no	100	73	0	0	0	0
12-139	BO	0.1	2012	no	100	122	0	0	0	0
12-205	BO	0.1	2012	no	100	116	0	0	0	0
12-229	BO	0.1	2012	no	100	9	0	0	0	0
12-250	BO	0.1	2012	no	100	NA	0	0	0	0
12-251	BO	1	2012	no	100	44	2	0	0	0
12-141	C	0.1	2012	no	100	48	0	0	0	0
12-150	C	0.1	2012	no	100	27	0	0	0	0
12-340	C	0.01	2012	no	100	0	0	0	0	0
12-152	CA	0.1	2012	no	100	19	0	0	0	0
12-154	CA	0.1	2012	no	100	59	0	0	0	0
12-155	CA	0.1	2012	no	100	2	0	0	0	0
12-156	CA	0.1	2012	no	100	90	0	0	0	0
12-210	CA	1	2012	no	100	73	6	0	0	0
12-211	CA	0.01	2012	no	100	0	0	0	0	0
12-231	CA	0.1	2012	no	100	NA	0	0	0	0
12-232	CA	0.1	2012	no	100	NA	0	0	0	0
12-233	CA	1	2012	no	100	103	3	0	0	0
12-254	CA	0.1	2012	no	100	78	0	0	0	0
12-255	CA	100	2012	no	100	58	28	13	6	0
12-256	CA	0.1	2012	no	100	19	0	0	0	0
12-347	CA	1	2012	no	100	90	18	0	0	0
12-368	CA	1	2012	no	100	103	3	0	0	0
12-412	CA	0.1	2012	no	100	4	0	0	0	0
12-077	FC	0.1	2012	no	100	32	0	0	0	0
12-172	FC	0.1	2012	no	100	7	0	0	0	0
12-173	FC	0.1	2012	no	100	87	0	0	0	0
12-174	FC	0.1	2012	no	100	77	0	0	0	0
12-292	FC	0.1	2012	no	100	84	0	0	0	0
12-070	LR	0.1	2012	no	100	109	0	0	0	0
12-153	LR	0.1	2012	no	100	5	0	0	0	0
12-247	LR	0.1	2012	no	100	68	0	0	0	0
12-208	MP	0.1	2012	no	100	61	0	0	0	0
12-214	MP	1	2012	no	100	25	12	0	0	0
12-215	MP	0.1	2012	no	100	89	0	0	0	0
12-217	MP	0.1	2012	no	100	89	0	0	0	0
12-311	MP	0.01	2012	no	100	0	0	0	0	0
12-345	MP	0.1	2012	no	100	4	0	0	0	0
12-346	MP	0.01	2012	no	100	0	0	0	0	0
12-351	MP	0.1	2012	no	100	46	0	0	0	0
12-071	PACA	0.1	2012	no	100	88	0	0	0	0
12-201	PACA	0.1	2012	no	100	7	0	0	0	0
12-119	PC	0.1	2012	no	100	4	0	0	0	0
12-120	PC	0.1	2012	no	100	63	0	0	0	0
12-121	PC	0.1	2012	no	100	59	0	0	0	0
12-123	PC	0.1	2012	no	100	91	0	0	0	0
12-124	PC	10	2012	no	100	129	99	6	0	0
12-125	PC	0.1	2012	no	100	69	0	0	0	0
12-126	PC	0.1	2012	no	100	69	0	0	0	0
12-188	PC	0.01	2012	no	100	0	0	0	0	0
12-189	PC	1	2012	no	100	94	1	0	0	0
12-287	PC	0.1	2012	no	100	85	0	0	0	0
12-437	PC	0.1	2012	no	100	8	0	0	0	0
12-219	PL	0.1	2012	no	100	104	0	0	0	0
12-310	PL	0.1	2012	no	100	82	0	0	0	0
12-394	PL	0.1	2012	no	100	16	0	0	0	0
12-398	PL	0.1	2012	no	100	50	0	0	0	0
12-399	PL	0.1	2012	no	100	11	0	0	0	0
12-400	PL	0.1	2012	no	100	12	0	0	0	0
12-401	PL	0.1	2012	no	100	18	0	0	0	0
12-402	PL	0.1	2012	no	100	51	0	0	0	0
12-104	RA	0.1	2012	no	100	69	0	0	0	0
12-105	RA	0.1	2012	no	100	16	0	0	0	0
12-183	RA	1	2012	no	100	108	3	0	0	0
12-184	RA	0.1	2012	no	100	100	0	0	0	0
12-185	RA	0.1	2012	no	100	102	0	0	0	0
12-328	RA	100	2012	no	100	76	4	5	3	0
12-329	RA	0.1	2012	no	100	7	0	0	0	0
12-330	RA	0.1	2012	no	100	31	0	0	0	0
12-331	RA	0.1	2012	no	100	NA	0	0	0	0
12-332	RA	0.1	2012	no	100	29	0	0	0	0
13-089	AQ	0.1	2013	no	100	75	0	0	0	0
13-089	AQ	0.1	2013	yes	100	51	0	0	0	0
13-090	AQ	0.1	2013	no	100	100	0	0	0	0
13-090	AQ	0.1	2013	yes	100	70	0	0	0	0
13-147	AQ	>10	2013	no	100	92	26	11	15	NA
13-147	AQ	0.1	2013	yes	100	15	0	0	0	0
13-155	AQ	0.1	2013	no	100	32	0	0	0	NA
13-155	AQ	0.1	2013	yes	100	12	0	0	0	0
13-167	AQ	0.1	2013	no	100	49	0	0	0	NA
13-167	AQ	0.1	2013	yes	100	13	0	0	0	0
13-075	BO	0.1	2013	no	100	98	0	0	0	0
13-075	BO	0.1	2013	yes	100	74	0	0	0	0
13-095	BO	< 0,01	2013	no	100	44	0	0	0	0
13-095	BO	< 0,01	2013	yes	100	5	0	0	0	0
13-096	BO	0.1	2013	no	100	88	0	0	0	0
13-096	BO	0.1	2013	yes	100	48	0	0	0	0
13-097	BO	>10	2013	no	100	100	92	55	55	NA
13-097	BO	0.1	2013	yes	100	97	0	0	0	0
13-098	BO	>10	2013	no	100	100	61	29	27	NA
13-098	BO	0.1	2013	yes	100	96	0	0	0	0
13-107	BO	>10	2013	no	100	89	32	20	6	NA
13-107	BO	0.1	2013	yes	100	96	0	0	0	0
13-117	BO	>10	2013	no	100	98	50	21	16	NA
13-117	BO	0.1	2013	yes	100	49	0	0	0	0
13-118	BO	>10	2013	no	100	62	36	2	3	NA
13-118	BO	0.1	2013	yes	100	25	0	0	0	0
13-119	BO	0.1	2013	no	100	61	0	0	0	0
13-119	BO	0.1	2013	yes	100	49	0	0	0	0
13-120	BO	>10	2013	no	100	92	3	3	3	NA
13-120	BO	0.1	2013	yes	100	10	0	0	0	0
13-151	BO	>10	2013	no	100	93	29	23	29	NA
13-151	BO	0.1	2013	yes	100	18	0	0	0	0
13-105	CA	0.1	2013	no	100	98	0	0	0	0
13-105	CA	0.1	2013	yes	100	80	0	0	0	0
13-106	CA	0.1	2013	no	100	100	0	0	0	0
13-106	CA	0.1	2013	yes	100	109	0	0	0	0
13-111	CA	>10	2013	no	100	118	118	118	98	NA
13-111	CA	0.1	2013	yes	100	99	0	0	0	0
13-112	CA	0.1	2013	no	100	83	0	0	0	0
13-112	CA	0.1	2013	yes	100	100	0	0	0	0
13-113	CA	0.1	2013	no	100	88	0	0	0	0
13-113	CA	0.1	2013	yes	100	108	0	0	0	0
13-114	CA	0.1	2013	no	100	97	0	0	0	0
13-114	CA	0.1	2013	yes	100	77	0	0	0	0
13-115	CA	0.1	2013	no	100	100	0	0	0	0
13-115	CA	0.1	2013	yes	100	28	0	0	0	0
13-116	CA	0.1	2013	no	100	99	0	0	0	0
