sample_ID	year	sampling_date	departement	AMISULBROM_SSSHAM	AMISULBROM_SHAM	S34L	AOX	AMETOC	AMISUL
12-047	2012	25/06/12	21	0	NA	NA	0	NA	NA
12-049	2012	25/06/12	21	0	NA	NA	0	NA	NA
12-050	2012	25/06/12	21	1	NA	NA	1	NA	NA
12-051	2012	25/06/12	21	0	NA	NA	0	NA	NA
12-070	2012	02/07/12	30	0	NA	NA	0	NA	NA
12-071	2012	03/07/12	84	0	NA	NA	0	NA	NA
12-077	2012	03/07/12	39	0	NA	NA	0	NA	NA
12-104	2012	09/07/12	74	0	NA	NA	0	NA	NA
12-105	2012	06/07/12	26	0	NA	NA	0	NA	NA
12-106	2012	09/07/12	71	0	NA	NA	0	NA	NA
12-107	2012	09/07/12	71	0	NA	NA	0	NA	NA
12-109	2012	09/07/12	71	0	NA	NA	0	NA	NA
12-110	2012	09/07/12	71	0	NA	NA	0	NA	NA
12-111	2012	09/07/12	71	0	NA	NA	0	NA	NA
12-119	2012	09/07/12	16	0	NA	NA	0	NA	NA
12-120	2012	09/07/12	17	0	NA	NA	0	NA	NA
12-121	2012	09/07/12	16	0	NA	NA	0	NA	NA
12-123	2012	09/07/12	16	0	NA	NA	0	NA	NA
12-124	2012	09/07/12	17	1	NA	NA	1	NA	NA
12-125	2012	09/07/12	17	0	NA	NA	0	NA	NA
12-126	2012	09/07/12	17	0	NA	NA	0	NA	NA
12-136	2012	16/07/12	89	0	NA	NA	0	NA	NA
12-137	2012	16/07/12	89	0	NA	NA	0	NA	NA
12-138	2012	16/07/12	89	0	NA	NA	0	NA	NA
12-139	2012	16/07/12	89	0	NA	NA	0	NA	NA
12-141	2012	16/07/12	37	0	NA	NA	0	NA	NA
12-150	2012	17/07/12	18	0	NA	NA	0	NA	NA
12-152	2012	17/07/12	51	0	NA	NA	0	NA	NA
12-153	2012	17/07/12	30	0	NA	NA	0	NA	NA
12-154	2012	17/07/12	51	0	NA	NA	0	NA	NA
12-155	2012	16/07/12	51	0	NA	NA	0	NA	NA
12-156	2012	16/07/12	51	0	NA	NA	0	NA	NA
12-168	2012	18/07/12	67	0	NA	NA	0	NA	NA
12-169	2012	18/07/12	68	0	NA	NA	0	NA	NA
12-170	2012	18/07/12	68	0	NA	NA	0	NA	NA
12-172	2012	16/07/12	39	0	NA	NA	0	NA	NA
12-173	2012	16/07/12	39	0	NA	NA	0	NA	NA
12-174	2012	18/07/12	39	0	NA	NA	0	NA	NA
12-183	2012	19/07/12	26	0	NA	NA	0	NA	NA
12-184	2012	19/07/12	26	0	NA	NA	0	NA	NA
12-185	2012	19/07/12	26	0	NA	NA	0	NA	NA
12-188	2012	16/07/12	17	0	NA	NA	0	NA	NA
12-189	2012	16/07/12	17	0	NA	NA	0	NA	NA
12-201	2012	23/07/12	84	0	NA	NA	0	NA	NA
12-203	2012	23/07/12	33	0	NA	NA	0	NA	NA
12-204	2012	23/07/12	33	0	NA	NA	0	NA	NA
12-205	2012	23/07/12	21	0	NA	NA	0	NA	NA
12-208	2012	23/07/12	32	0	NA	NA	0	NA	NA
12-210	2012	24/07/12	10	0	NA	NA	0	NA	NA
12-211	2012	24/07/12	10	0	NA	NA	0	NA	NA
12-214	2012	23/07/12	81	0	NA	NA	0	NA	NA
12-215	2012	23/07/12	81	0	NA	NA	0	NA	NA
12-216	2012	23/07/12	33	0	NA	NA	0	NA	NA
12-217	2012	24/07/12	47	0	NA	NA	0	NA	NA
12-218	2012	24/07/12	33	0	NA	NA	0	NA	NA
12-219	2012	23/07/12	49	0	NA	NA	0	NA	NA
12-229	2012	27/07/12	21	0	NA	NA	0	NA	NA
12-230	2012	24/07/12	67	0	NA	NA	0	NA	NA
12-231	2012	23/07/12	2	0	NA	NA	0	NA	NA
12-232	2012	24/07/12	2	0	NA	NA	0	NA	NA
12-233	2012	24/07/12	2	0	NA	NA	0	NA	NA
12-242	2012	25/07/12	24	0	NA	NA	0	NA	NA
12-243	2012	25/07/12	24	0	NA	NA	0	NA	NA
12-244	2012	26/07/12	40	0	NA	NA	0	NA	NA
12-245	2012	26/07/12	40	0	NA	NA	0	NA	NA
12-247	2012	18/07/12	30	0	NA	NA	0	NA	NA
12-248	2012	30/07/12	33	0	NA	NA	0	NA	NA
12-250	2012	30/07/12	71	0	NA	NA	0	NA	NA
12-251	2012	30/07/12	71	0	NA	NA	0	NA	NA
12-254	2012	30/07/12	51	0	NA	NA	0	NA	NA
12-255	2012	30/07/12	51	1	NA	NA	1	NA	NA
12-256	2012	30/07/12	51	0	NA	NA	0	NA	NA
12-258	2012	31/07/12	33	0	NA	NA	0	NA	NA
12-259	2012	31/07/12	33	0	NA	NA	0	NA	NA
12-260	2012	31/07/12	33	0	NA	NA	0	NA	NA
12-261	2012	31/07/12	33	0	NA	NA	0	NA	NA
12-273	2012	07/08/12	33	0	NA	NA	0	NA	NA
12-274	2012	07/08/12	33	0	NA	NA	0	NA	NA
12-275	2012	07/08/12	33	0	NA	NA	0	NA	NA
12-287	2012	31/07/12	17	0	NA	NA	0	NA	NA
